地區,項目,欄位名稱,數值,資料時間日期,資料週期,郵遞區號,機關代碼,電子郵件,行動電話,市話,縣市別代碼,行政區域代碼
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),男_未滿15歲_初婚,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),女_未滿15歲_初婚,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),男_未滿15歲_再婚,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),女_未滿15歲_再婚,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),男_15歲_初婚,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),男_16歲_初婚,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),男_17歲_初婚,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),男_18歲_初婚,24,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),男_19歲_初婚,46,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),女_15歲_初婚,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),女_16歲_初婚,18,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),女_17歲_初婚,45,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),女_18歲_初婚,128,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),女_19歲_初婚,130,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),男_15歲_再婚,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),男_16歲_再婚,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),男_17歲_再婚,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),男_18歲_再婚,1,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),男_19歲_再婚,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),女_15歲_再婚,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),女_16歲_再婚,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),女_17歲_再婚,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),女_18歲_再婚,1,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),女_19歲_再婚,2,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),男_20歲_初婚,108,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),男_21歲_初婚,148,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),男_22歲_初婚,202,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),男_23歲_初婚,263,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),男_24歲_初婚,356,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),女_20歲_初婚,232,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),女_21歲_初婚,285,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),女_22歲_初婚,350,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),女_23歲_初婚,429,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),女_24歲_初婚,625,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),男_20歲_再婚,4,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),男_21歲_再婚,1,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),男_22歲_再婚,2,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),男_23歲_再婚,6,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),男_24歲_再婚,14,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),女_20歲_再婚,9,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),女_21歲_再婚,12,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),女_22歲_再婚,26,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),女_23歲_再婚,27,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),女_24歲_再婚,24,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),男_25歲_初婚,489,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),男_26歲_初婚,802,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),男_27歲_初婚,1021,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),男_28歲_初婚,886,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),男_29歲_初婚,1204,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,0910289111,(04)22289111,66000,10019000
