地區,項目,性別,歲數,初/再婚,數值,資料時間日期,資料週期,郵遞區號,機關代碼,電子郵件,行動電話,市話,縣市別代碼,行政區域代碼,年齡區間
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),男,未滿15歲,初婚,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,未滿15歲
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),女,未滿15歲,初婚,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,未滿15歲
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),男,未滿15歲,再婚,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,未滿15歲
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),女,未滿15歲,再婚,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,未滿15歲
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),男,15歲,初婚,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,15~24歲
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),男,16歲,初婚,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,15~24歲
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),男,17歲,初婚,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,15~24歲
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),男,18歲,初婚,24,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,15~24歲
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),男,19歲,初婚,46,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,15~24歲
臺中市,結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分(按發生日期)-結婚人數(單位:人),女,15歲,初婚,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,15~24歲
