地區,項目,性別,年齡,數值,資料時間日期,資料週期,郵遞區號,機關代碼,電子郵件,行動電話,市話,縣市別代碼,行政區域代碼,年齡區間
臺中市中區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,未滿15歲,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,未滿15歲
臺中市中區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,15~19歲,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,15~24歲
臺中市中區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,20~24歲,1,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,15~24歲
臺中市中區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,25~29歲,4,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,25~34歲
臺中市中區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,30~34歲,4,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,25~34歲
臺中市中區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,35~39歲,8,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,35~44歲
臺中市中區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,40~44歲,13,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,35~44歲
臺中市中區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,45~49歲,5,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,45~54歲
臺中市中區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,50~54歲,5,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,45~54歲
臺中市中區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,55~59歲,2,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,55~64歲
臺中市中區,各區 離婚人數按離婚者性別及年齡分(按發生日期)-離婚人數(單位:人),男,60~64歲,6,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,55~64歲
