地區,項目,年齡,性別,原住民,婚姻狀態,數值,資料時間日期,資料週期,郵遞區號,機關代碼,電子郵件,行動電話,市話,縣市別代碼,行政區域代碼,年齡區分
臺中市,山地平地原住民婚姻狀況(單位:人),未滿15歲,男,平地原住民,未婚,1636,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,未滿15歲
臺中市,山地平地原住民婚姻狀況(單位:人),未滿15歲,男,平地原住民,有偶,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,未滿15歲
臺中市,山地平地原住民婚姻狀況(單位:人),未滿15歲,男,平地原住民,離婚,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,未滿15歲
臺中市,山地平地原住民婚姻狀況(單位:人),未滿15歲,男,平地原住民,喪偶,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,未滿15歲
臺中市,山地平地原住民婚姻狀況(單位:人),未滿15歲,男,山地原住民,未婚,2642,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,未滿15歲
臺中市,山地平地原住民婚姻狀況(單位:人),未滿15歲,男,山地原住民,有偶,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,未滿15歲
臺中市,山地平地原住民婚姻狀況(單位:人),未滿15歲,男,山地原住民,離婚,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,未滿15歲
臺中市,山地平地原住民婚姻狀況(單位:人),未滿15歲,男,山地原住民,喪偶,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,未滿15歲
臺中市,山地平地原住民婚姻狀況(單位:人),未滿15歲,女,平地原住民,未婚,1557,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,未滿15歲
臺中市,山地平地原住民婚姻狀況(單位:人),未滿15歲,女,平地原住民,有偶,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,未滿15歲
臺中市,山地平地原住民婚姻狀況(單位:人),未滿15歲,女,平地原住民,離婚,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,未滿15歲
臺中市,山地平地原住民婚姻狀況(單位:人),未滿15歲,女,平地原住民,喪偶,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,未滿15歲
臺中市,山地平地原住民婚姻狀況(單位:人),未滿15歲,女,山地原住民,未婚,2610,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,未滿15歲
臺中市,山地平地原住民婚姻狀況(單位:人),未滿15歲,女,山地原住民,有偶,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,未滿15歲
臺中市,山地平地原住民婚姻狀況(單位:人),未滿15歲,女,山地原住民,離婚,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,未滿15歲
臺中市,山地平地原住民婚姻狀況(單位:人),未滿15歲,女,山地原住民,喪偶,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,未滿15歲
臺中市,山地平地原住民婚姻狀況(單位:人),15~24歲,男,平地原住民,未婚,1315,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,15~24歲
臺中市,山地平地原住民婚姻狀況(單位:人),15~24歲,男,平地原住民,有偶,37,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,15~24歲
臺中市,山地平地原住民婚姻狀況(單位:人),15~24歲,男,平地原住民,離婚,8,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,15~24歲
臺中市,山地平地原住民婚姻狀況(單位:人),15~24歲,男,平地原住民,喪偶,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,15~24歲
臺中市,山地平地原住民婚姻狀況(單位:人),15~24歲,男,山地原住民,未婚,1925,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,15~24歲
臺中市,山地平地原住民婚姻狀況(單位:人),15~24歲,男,山地原住民,有偶,79,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,15~24歲
臺中市,山地平地原住民婚姻狀況(單位:人),15~24歲,男,山地原住民,離婚,16,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,15~24歲
臺中市,山地平地原住民婚姻狀況(單位:人),15~24歲,男,山地原住民,喪偶,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,15~24歲
臺中市,山地平地原住民婚姻狀況(單位:人),15~24歲,女,平地原住民,未婚,1208,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,15~24歲
臺中市,山地平地原住民婚姻狀況(單位:人),15~24歲,女,平地原住民,有偶,82,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,15~24歲
臺中市,山地平地原住民婚姻狀況(單位:人),15~24歲,女,平地原住民,離婚,18,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,15~24歲
臺中市,山地平地原住民婚姻狀況(單位:人),15~24歲,女,平地原住民,喪偶,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,15~24歲
臺中市,山地平地原住民婚姻狀況(單位:人),15~24歲,女,山地原住民,未婚,1856,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,15~24歲
臺中市,山地平地原住民婚姻狀況(單位:人),15~24歲,女,山地原住民,有偶,155,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,15~24歲
臺中市,山地平地原住民婚姻狀況(單位:人),15~24歲,女,山地原住民,離婚,38,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,15~24歲
臺中市,山地平地原住民婚姻狀況(單位:人),15~24歲,女,山地原住民,喪偶,1,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,15~24歲
臺中市,山地平地原住民婚姻狀況(單位:人),25~34歲,男,平地原住民,未婚,793,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,25~34歲
臺中市,山地平地原住民婚姻狀況(單位:人),25~34歲,男,平地原住民,有偶,330,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,25~34歲
臺中市,山地平地原住民婚姻狀況(單位:人),25~34歲,男,平地原住民,離婚,59,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,25~34歲
臺中市,山地平地原住民婚姻狀況(單位:人),25~34歲,男,平地原住民,喪偶,0,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,25~34歲
臺中市,山地平地原住民婚姻狀況(單位:人),25~34歲,男,山地原住民,未婚,1030,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,25~34歲
臺中市,山地平地原住民婚姻狀況(單位:人),25~34歲,男,山地原住民,有偶,498,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,25~34歲
臺中市,山地平地原住民婚姻狀況(單位:人),25~34歲,男,山地原住民,離婚,111,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,25~34歲
臺中市,山地平地原住民婚姻狀況(單位:人),25~34歲,男,山地原住民,喪偶,4,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,25~34歲
臺中市,山地平地原住民婚姻狀況(單位:人),25~34歲,女,平地原住民,未婚,665,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,25~34歲
臺中市,山地平地原住民婚姻狀況(單位:人),25~34歲,女,平地原住民,有偶,500,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,25~34歲
臺中市,山地平地原住民婚姻狀況(單位:人),25~34歲,女,平地原住民,離婚,123,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,25~34歲
臺中市,山地平地原住民婚姻狀況(單位:人),25~34歲,女,平地原住民,喪偶,5,2018-01-01T00:00:00,年,407610,387000000A,oddisp@taichung.gov.tw,910289111,(04)22289111,66000,10019000,25~34歲
