地區,項目,欄位名稱,數值,資料時間日期,性別,年齡,國籍,婚姻狀況別
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),男_未滿15歲_本國籍_未婚,0,2018-01-01T00:00:00,男,未滿15歲,本國籍,未婚
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),男_未滿15歲_本國籍_離婚,0,2018-01-01T00:00:00,男,未滿15歲,本國籍,離婚
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),男_未滿15歲_本國籍_喪偶,0,2018-01-01T00:00:00,男,未滿15歲,本國籍,喪偶
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),男_15~19歲_本國籍_未婚,69,2018-01-01T00:00:00,男,15~19歲,本國籍,未婚
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),男_15~19歲_本國籍_離婚,1,2018-01-01T00:00:00,男,15~19歲,本國籍,離婚
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),男_15~19歲_本國籍_喪偶,0,2018-01-01T00:00:00,男,15~19歲,本國籍,喪偶
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),男_20~24歲_本國籍_未婚,1022,2018-01-01T00:00:00,男,20~24歲,本國籍,未婚
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),男_20~24歲_本國籍_離婚,27,2018-01-01T00:00:00,男,20~24歲,本國籍,離婚
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),男_20~24歲_本國籍_喪偶,0,2018-01-01T00:00:00,男,20~24歲,本國籍,喪偶
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),男_25~29歲_本國籍_未婚,4227,2018-01-01T00:00:00,男,25~29歲,本國籍,未婚
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),男_25~29歲_本國籍_離婚,104,2018-01-01T00:00:00,男,25~29歲,本國籍,離婚
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),男_65歲以上_本國籍_喪偶,38,2018-01-01T00:00:00,男,65歲以上,本國籍,喪偶
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),女_未滿15歲_本國籍_未婚,0,2018-01-01T00:00:00,女,未滿15歲,本國籍,未婚
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),女_未滿15歲_本國籍_離婚,0,2018-01-01T00:00:00,女,未滿15歲,本國籍,離婚
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),女_未滿15歲_本國籍_喪偶,0,2018-01-01T00:00:00,女,未滿15歲,本國籍,喪偶
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),女_15~19歲_本國籍_未婚,219,2018-01-01T00:00:00,女,15~19歲,本國籍,未婚
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),女_15~19歲_本國籍_離婚,3,2018-01-01T00:00:00,女,15~19歲,本國籍,離婚
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),男_65歲以上_本國籍_離婚,97,2018-01-01T00:00:00,男,65歲以上,本國籍,離婚
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),男_65歲以上_本國籍_未婚,6,2018-01-01T00:00:00,男,65歲以上,本國籍,未婚
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),男_60~64歲_本國籍_喪偶,15,2018-01-01T00:00:00,男,60~64歲,本國籍,喪偶
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),男_60~64歲_本國籍_離婚,118,2018-01-01T00:00:00,男,60~64歲,本國籍,離婚
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),男_60~64歲_本國籍_未婚,13,2018-01-01T00:00:00,男,60~64歲,本國籍,未婚
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),男_55~59歲_本國籍_喪偶,24,2018-01-01T00:00:00,男,55~59歲,本國籍,喪偶
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),女_25~29歲_本國籍_喪偶,2,2018-01-01T00:00:00,女,25~29歲,本國籍,喪偶
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),女_30~34歲_本國籍_未婚,4121,2018-01-01T00:00:00,女,30~34歲,本國籍,未婚
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),女_30~34歲_本國籍_離婚,447,2018-01-01T00:00:00,女,30~34歲,本國籍,離婚
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),女_30~34歲_本國籍_喪偶,4,2018-01-01T00:00:00,女,30~34歲,本國籍,喪偶
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),女_35~39歲_本國籍_未婚,1454,2018-01-01T00:00:00,女,35~39歲,本國籍,未婚
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),女_35~39歲_本國籍_離婚,543,2018-01-01T00:00:00,女,35~39歲,本國籍,離婚
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),女_35~39歲_本國籍_喪偶,13,2018-01-01T00:00:00,女,35~39歲,本國籍,喪偶
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),女_40~44歲_本國籍_未婚,288,2018-01-01T00:00:00,女,40~44歲,本國籍,未婚
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),女_40~44歲_本國籍_離婚,360,2018-01-01T00:00:00,女,40~44歲,本國籍,離婚
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),男_55~59歲_本國籍_離婚,194,2018-01-01T00:00:00,男,55~59歲,本國籍,離婚
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),男_55~59歲_本國籍_未婚,21,2018-01-01T00:00:00,男,55~59歲,本國籍,未婚
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),男_50~54歲_本國籍_喪偶,13,2018-01-01T00:00:00,男,50~54歲,本國籍,喪偶
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),男_50~54歲_本國籍_離婚,302,2018-01-01T00:00:00,男,50~54歲,本國籍,離婚
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),男_50~54歲_本國籍_未婚,65,2018-01-01T00:00:00,男,50~54歲,本國籍,未婚
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),男_45~49歲_本國籍_喪偶,8,2018-01-01T00:00:00,男,45~49歲,本國籍,喪偶
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),女_50~54歲_本國籍_喪偶,15,2018-01-01T00:00:00,女,50~54歲,本國籍,喪偶
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),女_55~59歲_本國籍_未婚,16,2018-01-01T00:00:00,女,55~59歲,本國籍,未婚
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),女_55~59歲_本國籍_離婚,116,2018-01-01T00:00:00,女,55~59歲,本國籍,離婚
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),女_55~59歲_本國籍_喪偶,5,2018-01-01T00:00:00,女,55~59歲,本國籍,喪偶
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),女_60~64歲_本國籍_未婚,5,2018-01-01T00:00:00,女,60~64歲,本國籍,未婚
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),女_60~64歲_本國籍_離婚,36,2018-01-01T00:00:00,女,60~64歲,本國籍,離婚
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),女_60~64歲_本國籍_喪偶,6,2018-01-01T00:00:00,女,60~64歲,本國籍,喪偶
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),女_65歲以上_本國籍_未婚,3,2018-01-01T00:00:00,女,65歲以上,本國籍,未婚
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),女_65歲以上_本國籍_離婚,40,2018-01-01T00:00:00,女,65歲以上,本國籍,離婚
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-結婚人數(單位:人),男_45~49歲_本國籍_離婚,318,2018-01-01T00:00:00,男,45~49歲,本國籍,離婚
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-男生結婚年齡第一四分位數Q1(單位:歲),本國籍_婚姻狀況別,28.5,2018-01-01T00:00:00,,,本國籍,婚姻狀況別
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-男生結婚年齡第一四分位數Q1(單位:歲),本國籍_未婚,27.8,2018-01-01T00:00:00,,,本國籍,未婚
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-男生結婚年齡第一四分位數Q1(單位:歲),本國籍_離婚,36.6,2018-01-01T00:00:00,,,本國籍,離婚
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-男生結婚年齡第一四分位數Q1(單位:歲),本國籍_喪偶,53.2,2018-01-01T00:00:00,,,本國籍,喪偶
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-女生結婚年齡第一四分位數Q1(單位:歲),本國籍_婚姻狀況別,26.7,2018-01-01T00:00:00,,,本國籍,婚姻狀況別
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-女生結婚年齡第一四分位數Q1(單位:歲),本國籍_未婚,26.3,2018-01-01T00:00:00,,,本國籍,未婚
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-女生結婚年齡第一四分位數Q1(單位:歲),本國籍_離婚,32.4,2018-01-01T00:00:00,,,本國籍,離婚
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-女生結婚年齡第一四分位數Q1(單位:歲),本國籍_喪偶,39.3,2018-01-01T00:00:00,,,本國籍,喪偶
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-男生結婚年齡中位數Q2(單位:歲),本國籍_婚姻狀況別,32.7,2018-01-01T00:00:00,,,本國籍,婚姻狀況別
臺中市,結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分(按發生日期)-男生結婚年齡中位數Q2(單位:歲),本國籍_未婚,31.7,2018-01-01T00:00:00,,,本國籍,未婚
